,PLAYER,TEAM,GP,W,L,MIN,Touches,Elbow Touches,FGM,FGA,FG%,FTM,FTA,FT%,PTS,PTS%,PASS,PASS%,AST,AST%,TO,TOV%,PF,PF%
365,Moritz Wagner,ORL,42,20,22,20.7,38.2,2.1,0.7,1.1,60.9,0.4,0.5,81.0,1.7,81.1,0.5,23.3,0.1,19.0,0.2,7.8,0.3,12.2
366,Moses Brown,LAC,34,16,18,8.5,11.6,0.6,0.4,0.4,86.7,0.1,0.2,50.0,0.9,136.4,0.1,9.1,0.0,50.0,0.0,4.5,0.1,13.6
367,Moses Moody,GSW,48,25,23,13.4,15.0,0.2,0.1,0.1,75.0,0.0,0.0,0.0,0.2,72.7,0.1,27.3,0.0,0.0,0.1,36.4,0.0,0.0
368,Moussa Diabate,LAC,18,8,10,9.5,8.1,0.6,0.1,0.2,25.0,0.0,0.0,0.0,0.1,18.2,0.4,63.6,0.0,0.0,0.0,0.0,0.0,0.0
369,Myles Turner,IND,54,25,29,30.0,43.7,3.4,1.1,1.9,55.9,0.4,0.5,74.1,2.6,76.9,1.0,30.8,0.1,14.3,0.1,3.3,0.3,7.7
370,Naji Marshall,NOP,58,29,29,24.6,40.5,0.4,0.1,0.2,77.8,0.1,0.1,100.0,0.3,85.7,0.2,47.6,0.1,60.0,0.0,0.0,0.0,9.5
371,Nassir Little,POR,41,20,21,17.2,20.8,0.2,0.0,0.1,66.7,0.0,0.1,50.0,0.2,87.5,0.0,25.0,0.0,50.0,0.0,12.5,0.0,25.0
372,Nathan Knight,MIN,34,16,18,8.1,11.6,0.4,0.1,0.1,80.0,0.0,0.1,50.0,0.3,73.3,0.2,46.7,0.1,28.6,0.0,6.7,0.0,6.7
373,Naz Reid,MIN,56,26,30,18.1,35.5,1.8,0.5,0.9,58.3,0.2,0.3,75.0,1.3,69.3,0.7,38.6,0.1,12.8,0.1,3.0,0.1,7.9
374,Neemias Queta,SAC,4,1,3,6.1,7.8,0.8,0.3,0.3,100.0,0.0,0.0,0.0,0.5,66.7,0.5,66.7,0.0,0.0,0.0,0.0,0.0,0.0
375,Nerlens Noel,DET,14,2,12,10.8,14.0,1.4,0.1,0.7,10.0,0.0,0.0,0.0,0.1,10.5,0.6,42.1,0.1,12.5,0.1,5.3,0.0,0.0
376,Nic Claxton,BKN,58,30,28,29.3,39.5,3.6,0.7,1.1,60.6,0.2,0.3,45.0,1.5,42.4,2.1,57.6,0.3,14.9,0.2,4.8,0.2,4.8
377,Nick Richards,CHA,49,15,34,17.4,22.0,1.5,0.4,0.7,57.1,0.3,0.4,68.4,1.2,78.1,0.4,28.8,0.1,14.3,0.1,4.1,0.2,13.7
378,Nickeil Alexander-Walker,MIN,41,19,22,14.6,29.5,0.1,0.0,0.1,33.3,0.0,0.0,100.0,0.1,66.7,0.0,33.3,0.0,0.0,0.0,0.0,0.0,16.7
379,Nicolas Batum,LAC,61,33,28,21.9,29.5,0.5,0.1,0.1,100.0,0.0,0.1,50.0,0.2,33.3,0.4,73.3,0.0,0.0,0.0,3.3,0.0,6.7
380,Nikola Jokic,DEN,55,41,14,33.6,99.1,9.7,2.4,3.4,69.3,0.5,0.6,80.6,5.4,55.8,5.3,54.1,1.5,27.6,0.4,4.5,0.3,2.8
