,PLAYER,TEAM,GP,W,L,MIN,DRIVES,FGM,FGA,FG%,FTM,FTA,FT%,PTS,PTS%,PASS,PASS%,AST,AST%,TO,TOV%,PF,PF%
295,Kenyon Martin Jr.,HOU,67,15,52,27.0,2.2,0.6,1.1,54.9,0.2,0.4,62.5,1.4,65.1,0.8,36.2,0.1,6.0,0.1,4.7,0.2,8.1
296,Keon Ellis,SAC,10,5,5,3.7,0.4,0.1,0.2,50.0,0.0,0.0,0.0,0.2,50.0,0.2,50.0,0.2,50.0,0.0,0.0,0.0,0.0
297,Keon Johnson,POR,35,13,22,9.6,2.4,0.4,1.1,38.5,0.3,0.5,68.8,1.2,49.4,0.8,33.7,0.1,6.0,0.2,9.6,0.2,9.6
298,Kessler Edwards,SAC,20,9,11,6.7,0.3,0.1,0.2,25.0,0.0,0.0,0.0,0.1,40.0,0.1,20.0,0.1,20.0,0.0,0.0,0.0,0.0
299,Kevin Durant,PHX,42,29,13,35.7,9.2,3.5,5.4,64.0,1.5,1.6,97.0,8.8,95.9,2.2,24.0,0.6,7.0,0.6,6.2,0.8,8.5
300,Kevin Huerter,SAC,63,37,26,30.0,4.3,1.0,1.9,52.5,0.3,0.5,65.5,2.4,54.6,1.8,40.7,0.5,12.5,0.3,8.1,0.2,5.5
301,Kevin Knox II,POR,50,10,40,12.7,0.9,0.3,0.5,56.5,0.2,0.2,100.0,0.8,80.9,0.2,23.4,0.1,6.4,0.1,10.6,0.1,12.8
302,Kevin Love,MIA,50,27,23,20.3,0.6,0.1,0.3,46.2,0.1,0.1,100.0,0.3,60.7,0.2,39.3,0.0,0.0,0.0,3.6,0.0,7.1
303,Kevin Porter Jr.,HOU,45,12,33,33.5,14.5,2.4,5.6,43.8,1.7,2.1,82.1,6.8,46.9,6.7,46.3,1.6,10.9,0.9,6.3,1.0,6.9
304,Kevon Harris,ORL,27,10,17,12.4,1.7,0.2,0.6,29.4,0.2,0.2,83.3,0.6,33.3,0.6,33.3,0.1,6.7,0.3,20.0,0.1,6.7
305,Kevon Looney,GSW,67,34,33,23.4,0.4,0.1,0.2,46.2,0.1,0.1,75.0,0.3,63.3,0.2,36.7,0.0,10.0,0.0,0.0,0.1,13.3
306,Khem Birch,SAS,20,9,11,8.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,100.0,0.1,50.0,0.0,0.0,0.0,0.0
