,PLAYER,TEAM,GP,W,L,MIN,Dist. Feet,Dist. Miles,Dist. Miles Off,Dist. Miles Def,Avg Speed,Avg Speed Off,Avg Speed Def
495,Udoka Azubuike,UTA,26,14,12,5.9,2184.5,0.41,0.22,0.2,3.87,3.93,3.81
496,Udonis Haslem,MIA,6,3,3,7.9,2847.8,0.54,0.29,0.25,3.79,3.91,3.66
497,Usman Garuba,HOU,61,15,46,13.2,5088.7,0.96,0.5,0.46,4.05,4.14,3.95
498,Vernon Carey Jr.,WAS,11,8,3,2.6,1029.6,0.2,0.11,0.08,4.0,4.1,3.87
499,Victor Oladipo,MIA,37,22,15,27.0,10133.9,1.92,1.05,0.87,3.96,4.25,3.65
500,Vince Williams Jr.,MEM,11,6,5,4.7,1970.7,0.37,0.19,0.18,4.37,4.34,4.41
501,Vit Krejci,ATL,23,11,12,5.4,2120.1,0.4,0.22,0.18,4.07,4.37,3.76
502,Vlatko Cancar,DEN,49,33,16,16.3,6154.8,1.17,0.63,0.53,3.99,4.24,3.72
503,Walker Kessler,UTA,65,31,34,22.4,9045.3,1.71,0.93,0.79,4.26,4.51,4.0
504,Wendell Carter Jr.,ORL,45,20,25,29.9,10847.8,2.05,1.09,0.97,3.86,4.14,3.59
505,Wendell Moore Jr.,MIN,26,14,12,5.6,2489.0,0.47,0.25,0.22,4.68,5.17,4.23
506,Wenyen Gabriel,LAL,54,27,27,14.8,6034.0,1.14,0.63,0.52,4.34,4.79,3.91
507,Wesley Matthews,MIL,39,29,10,15.6,6351.8,1.2,0.65,0.55,4.27,4.62,3.93
508,Will Barton,TOR,45,20,25,18.5,7183.3,1.36,0.74,0.62,4.1,4.42,3.78
509,Willy Hernangomez,NOP,34,19,15,13.0,5218.6,0.99,0.53,0.46,4.25,4.52,3.99
510,Xavier Tillman,MEM,48,30,18,17.6,7127.1,1.35,0.71,0.64,4.29,4.54,4.03
511,Yuta Watanabe,BKN,46,24,22,17.7,7104.4,1.35,0.71,0.63,4.27,4.53,4.01
512,Zach Collins,SAS,54,16,38,22.1,8496.1,1.61,0.86,0.74,4.05,4.41,3.7
513,Zach LaVine,CHI,62,29,33,36.0,13937.7,2.64,1.41,1.23,4.12,4.54,3.71
514,Zeke Nnaji,DEN,43,29,14,13.5,5272.2,1.0,0.53,0.47,4.1,4.24,3.95
515,Ziaire Williams,MEM,35,21,14,14.8,5893.6,1.12,0.56,0.56,4.21,4.36,4.08
516,Zion Williamson,NOP,29,17,12,33.0,13026.6,2.47,1.34,1.12,4.19,4.67,3.74
