,Player,Team,GP,MIN,W,L,STL,BLK,DREB,DFGM,DFGA,DFG%
276,Jrue Holiday,MIL,67,32.6,50,17,1.2,0.4,3.9,1.5,2.1,74.1
277,Juan Toscano-Anderson,UTA,49,12.9,18,31,0.3,0.2,1.8,0.9,1.4,62.3
278,Juancho Hernangomez,TOR,42,14.6,20,22,0.4,0.1,2.3,1.4,2.0,69.9
279,Julian Champagnie,SAS,14,16.4,5,9,0.3,0.4,2.4,1.3,2.0,64.3
280,Julius Randle,NYK,77,35.5,44,33,0.6,0.3,8.1,2.6,3.6,72.9
281,Justin Champagnie,TOR,3,3.6,2,1,0.0,0.0,1.0,0.0,0.0,0.0
282,Justin Holiday,DAL,44,14.9,18,26,0.4,0.4,1.0,1.0,1.6,66.7
283,Justin Jackson,BOS,23,4.7,15,8,0.2,0.2,0.7,0.1,0.4,33.3
284,Justin Minaya,POR,1,17.2,0,1,0.0,0.0,2.0,1.0,1.0,100.0
285,Justise Winslow,POR,29,26.8,15,14,1.0,0.4,3.3,1.6,2.3,66.2
286,Jusuf Nurkic,POR,52,26.8,24,28,0.8,0.8,6.9,3.9,6.7,57.9
287,KZ Okpala,SAC,35,7.1,19,16,0.2,0.2,0.8,0.5,1.0,47.1
288,Kai Jones,CHA,44,11.7,12,32,0.3,0.6,1.9,0.9,2.0,47.1
289,Karl-Anthony Towns,MIN,27,33.1,13,14,0.7,0.5,6.4,2.5,3.9,64.8
290,Kawhi Leonard,LAC,50,33.7,31,19,1.4,0.5,5.2,2.3,3.4,67.3
291,Keegan Murray,SAC,78,29.8,47,31,0.8,0.5,3.5,2.0,2.9,68.1
292,Keita Bates-Diop,SAS,63,21.7,16,47,0.7,0.3,2.7,1.6,2.4,64.9
