,PLAYER,TEAM,GP,W,L,MIN,Passes Made,Passes Received,AST,Secondary AST,Potential AST,AST PTS Created,AST PTS Created.1,AST Adj,AST To Pass%,AST To Pass% Adj
172,Harrison Barnes,SAC,72,43,29,32.7,33.3,27.4,1.6,0.3,3.5,4.3,2.0,4.8,6.1,
173,Haywood Highsmith,MIA,48,25,23,18.3,14.9,11.3,0.7,0.1,1.9,2.0,0.9,4.7,6.0,
174,Herbert Jones,NOP,56,24,32,29.0,32.0,24.8,2.4,0.2,4.1,6.0,2.6,7.4,8.3,
175,Immanuel Quickley,NYK,72,42,30,28.4,35.8,40.0,3.2,0.4,6.1,8.2,3.8,8.9,10.7,
176,Isaac Okoro,CLE,74,46,28,21.8,13.9,12.0,1.2,0.2,1.9,2.8,1.5,8.3,10.6,
177,Isaiah Hartenstein,NYK,73,42,31,19.7,24.0,12.4,1.0,0.1,2.0,2.5,1.2,4.2,4.8,
178,Isaiah Jackson,IND,53,21,32,15.4,15.2,12.6,0.8,0.1,1.4,2.2,1.1,5.5,7.3,
179,Isaiah Joe,OKC,64,33,31,18.3,15.7,16.5,1.1,0.2,1.9,3.0,1.5,7.2,9.2,
180,Isaiah Livers,DET,45,10,35,22.4,18.5,15.2,0.7,0.2,1.6,1.8,0.9,3.8,4.8,
181,Isaiah Mobley,CLE,9,6,3,3.4,4.3,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
182,Isaiah Roby,SAS,41,9,32,11.3,13.6,10.4,0.9,0.0,1.8,2.3,1.0,6.8,7.7,
183,Isaiah Stewart,DET,49,12,37,28.3,27.4,21.1,1.4,0.1,2.2,3.5,1.5,5.1,5.6,
184,Isaiah Todd,WAS,4,2,2,3.1,3.3,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
185,Ish Smith,DEN,36,22,14,9.0,16.5,17.4,2.1,0.2,3.9,5.4,2.5,12.8,15.3,
186,Ish Wainright,PHX,53,28,25,15.3,11.1,9.5,0.9,0.1,1.5,2.4,1.0,8.5,9.4,
187,Ivica Zubac,LAC,67,37,30,29.0,32.5,19.1,1.1,0.2,1.8,2.7,1.3,3.3,4.0,
188,JD Davison,BOS,8,7,1,2.3,2.1,2.6,0.4,0.0,0.5,0.9,0.4,17.6,17.6,
189,JT Thor,CHA,60,18,42,11.9,11.8,8.0,0.4,0.1,0.8,1.1,0.5,3.7,4.4,
190,Ja Morant,MEM,53,34,19,32.5,48.0,65.0,8.2,0.7,14.5,20.6,9.5,17.1,19.7,
191,JaMychal Green,GSW,53,27,26,14.3,16.7,13.5,0.9,0.1,1.9,2.5,1.1,5.7,6.7,
192,JaVale McGee,DAL,37,18,19,8.0,7.5,5.6,0.3,0.0,0.5,0.7,0.3,3.6,3.9,
