,PLAYER,TEAM,AGE,GP,G,FREQ,FGM,FGA,FG%,EFG%,2FG FREQ,2FGM,2FGA,2FG%,3FG FREQ,3PM,3PA,3P%
122,Andrew Nembhard,IND,23,56,49,33.2,0.9,2.5,35.5,40.8,23.1,0.6,1.8,36.0,10.1,0.3,0.8,35.1
123,Josh Giddey,OKC,20,56,49,16.6,0.9,2.4,36.6,37.3,14.9,0.8,2.1,39.3,1.7,0.0,0.3,16.0
124,Kentavious Caldwell-Pope,DEN,30,60,55,28.1,1.0,2.4,43.4,47.9,20.2,0.8,1.7,47.7,7.9,0.2,0.7,32.8
125,Brandon Boston Jr.,LAC,21,21,15,41.3,0.9,2.4,40.0,47.0,28.9,0.6,1.7,37.1,12.4,0.3,0.7,46.5
126,Ricky Rubio,CLE,32,16,14,43.2,0.9,2.4,36.8,40.8,25.0,0.7,1.4,50.0,18.2,0.2,1.0,19.0
127,Kendrick Nunn,WAS,27,53,46,35.9,0.9,2.3,37.1,44.8,19.1,0.5,1.3,40.8,16.8,0.4,1.1,33.0
128,O.G. Anunoby,TOR,25,49,42,17.4,0.8,2.3,32.5,35.5,12.9,0.6,1.7,35.3,4.4,0.1,0.6,23.7
129,Goran Dragic,CHI,36,50,42,39.2,0.8,2.3,35.3,37.9,27.4,0.7,1.6,43.2,11.8,0.1,0.7,17.1
130,Lonnie Walker IV,LAL,24,45,39,22.3,0.8,2.3,34.0,39.3,14.5,0.5,1.5,35.6,7.8,0.2,0.8,30.0
131,P.J. Washington,CHA,24,60,51,17.7,0.8,2.3,37.2,44.5,10.7,0.5,1.4,37.7,7.0,0.3,0.9,36.7
132,Dennis Smith Jr.,CHA,25,41,38,28.4,0.6,2.3,26.9,26.9,24.5,0.6,1.9,31.3,4.0,0.0,0.3,0.0
133,Bobby Portis,MIL,28,50,45,19.2,0.9,2.3,38.9,39.4,18.0,0.9,2.1,40.6,1.2,0.0,0.1,14.3
134,Joshua Primo,SAS,20,4,4,34.6,1.0,2.3,44.4,50.0,23.1,0.8,1.5,50.0,11.5,0.3,0.8,33.3
135,Lauri Markkanen,UTA,25,57,48,13.1,0.9,2.2,41.6,47.6,8.6,0.7,1.4,45.1,4.5,0.3,0.8,34.7
136,RJ Barrett,NYK,22,56,48,13.6,0.5,2.2,23.8,27.0,9.2,0.4,1.5,25.7,4.3,0.1,0.7,20.0
137,Derrick Rose,NYK,34,27,26,36.5,0.9,2.1,41.4,50.0,20.1,0.5,1.2,43.7,16.4,0.4,1.0,38.5
138,Collin Sexton,UTA,24,47,42,22.0,1.0,2.1,46.0,56.0,12.7,0.6,1.2,44.7,9.2,0.4,0.9,48.3
139,Ish Smith,DEN,34,31,24,66.7,0.8,2.1,37.9,37.9,64.6,0.8,2.1,39.3,2.0,0.0,0.1,0.0
140,Shaedon Sharpe,POR,19,60,51,30.9,0.7,2.1,33.3,38.1,16.2,0.5,1.1,45.5,14.7,0.2,1.0,20.0
141,Devonte' Graham,SAS,28,60,41,38.8,0.7,2.0,36.4,49.2,9.6,0.2,0.5,44.0,29.2,0.5,1.5,34.2
142,Jared Rhoden,DET,23,1,1,66.7,1.0,2.0,50.0,50.0,33.3,1.0,1.0,100,33.3,0.0,1.0,0.0
143,Tobias Harris,PHI,30,56,43,16.4,0.9,2.0,43.8,48.7,12.9,0.7,1.6,43.3,3.5,0.2,0.4,46.5
144,Talen Horton-Tucker,UTA,22,49,38,27.7,0.7,2.0,35.7,43.4,13.3,0.4,1.0,42.7,14.4,0.3,1.0,29.8
145,Ty Jerome,GSW,25,40,27,34.2,0.9,1.9,47.4,53.9,24.3,0.7,1.4,48.1,9.9,0.3,0.6,45.5
146,Luke Kennard,MEM,26,39,32,31.8,0.8,1.9,41.9,50.0,18.5,0.5,1.1,44.5,13.3,0.3,0.8,39.2
147,Patrick Williams,CHI,21,61,53,22.8,0.7,1.9,38.3,40.4,20.0,0.6,1.7,38.6,2.8,0.1,0.2,34.8
148,Eric Gordon,LAC,34,52,41,18.9,0.6,1.8,33.7,48.4,4.0,0.1,0.4,21.1,14.9,0.5,1.4,37.5
149,De'Anthony Melton,PHI,24,57,40,20.7,0.7,1.8,35.9,48.5,6.2,0.2,0.5,35.2,14.5,0.5,1.3,36.5
150,Cory Joseph,DET,31,43,34,41.5,0.6,1.8,34.6,39.7,25.5,0.4,1.1,39.3,16.0,0.2,0.7,27.1
