,Player,Team,Age,Less than 5ft._FGM,Less than 5ft._FGA,Less than 5ft._FG%,5-9 ft._FGM,5-9 ft._FGA,5-9 ft._FG%,10-14 ft._FGM,10-14 ft._FGA,10-14 ft._FG%,15-19 ft._FGM,15-19 ft._FGA,15-19 ft._FG%,20-24 ft._FGM,20-24 ft._FGA,20-24 ft._FG%,25-29 ft._FGM,25-29 ft._FGA,25-29 ft._FG%
237,Jeff Green,DEN,36,8.0,11.7,68.1,1.8,4.5,38.6,1.2,2.8,43.8,0.9,2.2,42.1,1.8,5.1,34.7,3.1,9.0,34.7
238,Jerami Grant,POR,29,15.8,24.5,64.5,2.8,6.6,42.9,2.3,5.3,42.6,1.9,4.3,43.6,3.4,9.3,36.9,5.5,14.5,37.9
239,Jeremiah Robinson-Earl,OKC,22,7.8,12.4,62.7,2.1,4.7,45.0,1.2,2.3,51.0,0.4,1.6,24.6,2.5,6.4,38.4,3.1,7.9,39.8
240,Jeremy Sochan,SAS,19,11.8,18.2,64.6,2.3,5.3,43.1,2.1,4.4,47.4,1.6,3.2,48.9,3.1,6.6,46.5,4.1,10.9,37.5
241,Jericho Sims,NYK,24,5.5,8.7,62.6,1.2,3.0,38.5,1.5,2.8,51.8,0.9,1.9,48.3,1.9,4.4,41.9,2.4,7.3,33.3
242,Jevon Carter,MIL,27,7.4,11.9,61.9,2.3,5.7,39.3,2.4,5.2,47.2,1.5,3.8,38.7,1.6,4.6,33.9,3.8,10.7,35.0
243,Jimmy Butler,MIA,33,11.9,17.2,68.9,3.7,7.3,50.8,2.1,4.6,45.6,1.3,3.3,40.9,4.2,10.5,40.5,5.1,14.0,36.4
244,Jock Landale,PHX,27,5.2,8.3,62.2,1.4,3.2,43.1,0.9,2.2,41.3,0.4,1.2,32.4,1.3,3.5,38.1,1.9,5.8,33.1
245,Joe Harris,BKN,31,8.4,13.7,61.8,1.7,4.8,36.0,1.1,3.0,37.5,1.0,2.1,47.3,2.7,6.3,43.3,2.7,8.1,33.1
246,Joe Ingles,MIL,35,8.3,13.1,63.7,2.3,5.6,40.4,2.1,4.9,42.9,1.8,4.3,41.6,2.1,5.0,42.3,3.6,10.4,34.5
247,Joe Wieskamp,TOR,23,1.7,3.7,45.5,0.0,1.0,0.0,0.5,1.3,40.0,0.0,0.3,0.0,0.5,2.0,25.0,1.0,2.5,40.0
248,Joel Embiid,PHI,29,12.2,18.8,64.9,3.2,7.0,45.4,2.3,5.4,42.0,2.1,4.9,42.6,3.0,8.0,38.3,5.6,16.7,33.8
249,John Butler Jr.,POR,20,3.5,5.4,65.3,0.6,1.6,38.1,0.1,0.6,20.0,0.4,0.9,44.4,1.0,2.3,42.9,1.3,3.7,36.4
250,John Collins,ATL,25,13.6,20.6,65.7,2.6,5.9,45.0,2.6,5.4,47.8,1.7,3.5,48.7,3.2,9.0,35.9,4.3,12.3,35.0
251,John Konchar,MEM,27,8.4,13.9,60.4,1.5,4.1,35.9,1.3,3.0,41.6,0.8,1.9,39.8,2.1,5.7,37.1,3.3,9.7,33.6
252,John Wall,LAC,32,8.8,13.6,64.9,1.9,5.3,35.9,1.6,3.4,45.3,1.0,2.4,41.3,2.2,6.1,36.1,3.6,10.2,35.6
253,Johnny Davis,WAS,21,4.9,7.0,69.2,0.9,2.4,38.6,0.7,1.9,35.0,0.6,1.5,38.2,0.8,2.7,28.6,1.3,4.9,27.1
254,Johnny Juzang,UTA,22,4.3,7.0,61.0,1.5,3.6,42.6,0.3,0.9,28.6,0.5,1.1,50.0,1.9,4.3,43.1,2.7,7.0,39.0
255,Jonas Valanciunas,NOP,30,9.7,14.4,67.7,2.3,5.2,44.5,1.5,3.7,40.5,1.3,2.9,46.8,2.7,7.6,34.9,4.0,11.5,35.1
256,Jonathan Isaac,ORL,25,3.4,5.0,67.3,0.8,2.2,37.5,1.2,2.1,56.5,0.5,1.5,33.3,0.9,3.5,26.3,2.6,5.0,52.7
257,Jonathan Kuminga,GSW,20,7.3,11.4,64.4,2.8,6.2,45.5,1.4,3.2,43.7,1.0,2.1,45.4,2.1,5.7,36.3,3.6,9.3,39.2
