,Player,Team,Age,Restricted Area_FGM,Restricted Area_FGA,Restricted Area_FG%,In The Paint (Non-RA)_FGM,In The Paint (Non-RA)_FGA,In The Paint (Non-RA)_FG%,Mid-Range_FGM,Mid-Range_FGA,Mid-Range_FG%,Left Corner 3._FGM,Left Corner 3._FGA,Left Corner 3._FG%,Right Corner 3._FGM,Right Corner 3._FGA,Right Corner 3._FG%,Corner 3_FGM,Corner 3_FGA,Corner 3_FG%,Above the Break 3._FGM,Above the Break 3._FGA,Above the Break 3._FG%
487,Trendon Watford,POR,22,7.8,11.6,67.8,2.6,5.4,49.0,1.3,3.3,37.8,0.8,1.9,42.7,0.8,1.9,39.8,1.5,3.6,41.2,3.8,10.4,36.7
488,Trent Forrest,ATL,24,4.4,6.4,68.0,1.6,3.7,42.3,1.6,3.1,51.6,0.7,1.4,50.0,0.7,1.5,45.5,1.1,2.3,47.6,2.4,7.1,34.0
489,Trevelin Queen,IND,26,2.3,3.9,59.3,1.6,3.3,47.8,0.7,1.5,44.4,0.4,2.0,20.0,0.5,0.5,100,0.7,2.0,33.3,2.3,5.6,41.0
490,Trevor Hudgins,HOU,24,2.3,3.0,77.8,0.6,1.4,42.9,0.6,0.8,75.0,0.3,0.3,100,0.3,0.7,50.0,0.5,0.8,66.7,0.8,3.4,23.5
491,Trevor Keels,NYK,19,1.7,2.0,83.3,1.0,1.0,100,0.3,0.7,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,2.3,28.6
492,Trey Lyles,SAC,27,6.0,8.8,68.1,3.0,6.4,47.3,1.4,3.5,40.6,0.7,1.7,42.3,0.9,1.9,49.1,1.5,3.3,45.8,3.1,8.9,34.6
493,Trey Murphy III,NOP,22,11.3,16.1,70.3,4.9,10.5,46.2,2.4,6.0,39.7,1.1,2.9,37.6,1.0,2.6,37.6,2.0,5.4,37.6,5.6,16.6,33.4
494,Troy Brown Jr.,LAL,23,9.5,14.2,67.0,4.3,10.0,43.0,2.5,5.4,45.7,0.8,2.2,36.1,0.8,2.1,37.0,1.5,4.2,36.5,4.6,13.9,33.1
495,Ty Jerome,GSW,25,5.3,7.4,71.6,4.1,8.6,48.0,1.8,3.9,44.8,0.5,1.8,28.0,0.6,1.5,40.7,1.1,3.2,33.6,4.3,9.9,43.0
496,TyTy Washington Jr.,HOU,21,4.5,6.5,68.7,1.7,4.2,39.4,0.9,2.2,41.8,0.7,1.9,36.0,0.4,1.2,31.3,0.9,2.7,34.1,3.6,9.2,39.3
497,Tyler Dorsey,DAL,27,0.7,1.0,66.7,0.0,0.5,0.0,0.5,2.0,25.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.5,1.5,33.3
498,Tyler Herro,MIA,23,11.2,16.0,69.8,6.1,12.0,51.0,2.7,6.9,39.4,1.7,4.0,41.8,1.3,3.4,38.6,3.0,7.4,40.3,6.2,17.7,35.0
499,Tyrese Haliburton,IND,23,13.4,20.9,64.2,5.1,10.9,46.9,3.1,7.7,40.5,1.3,3.4,37.5,1.1,2.7,42.1,2.4,6.1,39.5,5.9,16.1,36.6
500,Tyrese Martin,ATL,24,1.8,2.1,84.0,0.8,1.4,52.9,0.2,0.9,25.0,0.3,0.7,50.0,0.2,0.7,25.0,0.3,0.8,37.5,0.5,1.9,26.1
501,Tyrese Maxey,PHI,22,11.8,17.3,68.2,4.7,10.3,45.2,3.4,7.9,43.9,0.9,2.9,32.4,1.0,2.7,37.2,1.9,5.6,34.7,6.0,16.8,35.6
502,Tyus Jones,MEM,26,8.9,14.1,63.6,3.1,7.7,40.0,1.9,4.6,41.1,0.9,1.9,47.5,0.7,1.8,39.7,1.5,3.5,43.8,5.1,14.8,34.3
