Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS.1,Unnamed: 6,Unnamed: 7,Attend.,Arena,Notes
2023-01-25,8:00p,Minnesota Timberwolves,,New Orleans Pelicans,,,,,Smoothie King Center,
2023-01-25,8:00p,Atlanta Hawks,,Oklahoma City Thunder,,,,,Paycom Center,
2023-01-25,10:00p,Memphis Grizzlies,,Golden State Warriors,,,,,Chase Center,
2023-01-25,10:00p,Utah Jazz,,Portland Trail Blazers,,,,,Moda Center,
2023-01-25,10:00p,Toronto Raptors,,Sacramento Kings,,,,,Golden 1 Center,
2023-01-25,10:30p,San Antonio Spurs,,Los Angeles Lakers,,,,,Crypto.com Arena,
2023-01-26,7:30p,New York Knicks,,Boston Celtics,,,,,TD Garden,
2023-01-26,7:30p,Detroit Pistons,,Brooklyn Nets,,,,,Barclays Center,
2023-01-26,7:30p,Chicago Bulls,,Charlotte Hornets,,,,,Spectrum Center,
2023-01-26,8:00p,Cleveland Cavaliers,,Houston Rockets,,,,,Toyota Center,
2023-01-26,10:00p,Dallas Mavericks,,Phoenix Suns,,,,,Footprint Center,
2023-01-26,10:30p,San Antonio Spurs,,Los Angeles Clippers,,,,,Crypto.com Arena,
2023-01-27,7:00p,Milwaukee Bucks,,Indiana Pacers,,,,,Gainbridge Fieldhouse,
2023-01-27,7:30p,Memphis Grizzlies,,Minnesota Timberwolves,,,,,Target Center,
2023-01-27,8:00p,Orlando Magic,,Miami Heat,,,,,FTX Arena,
2023-01-27,8:00p,Cleveland Cavaliers,,Oklahoma City Thunder,,,,,Paycom Center,
2023-01-27,10:00p,Toronto Raptors,,Golden State Warriors,,,,,Chase Center,
2023-01-28,3:00p,Denver Nuggets,,Philadelphia 76ers,,,,,Wells Fargo Center,
2023-01-28,5:30p,New York Knicks,,Brooklyn Nets,,,,,Barclays Center,
2023-01-28,7:00p,Houston Rockets,,Detroit Pistons,,,,,Little Caesars Arena,
2023-01-28,7:00p,Chicago Bulls,,Orlando Magic,,,,,Amway Center,
2023-01-28,7:30p,Los Angeles Clippers,,Atlanta Hawks,,,,,State Farm Arena,
2023-01-28,8:00p,Sacramento Kings,,Minnesota Timberwolves,,,,,Target Center,
2023-01-28,8:00p,Washington Wizards,,New Orleans Pelicans,,,,,Smoothie King Center,
2023-01-28,8:00p,Phoenix Suns,,San Antonio Spurs,,,,,AT&T Center,
2023-01-28,8:30p,Los Angeles Lakers,,Boston Celtics,,,,,TD Garden,
2023-01-28,9:00p,Dallas Mavericks,,Utah Jazz,,,,,Vivint Arena,
2023-01-28,10:00p,Toronto Raptors,,Portland Trail Blazers,,,,,Moda Center,
2023-01-29,1:00p,Miami Heat,,Charlotte Hornets,,,,,Spectrum Center,
2023-01-29,6:00p,Indiana Pacers,,Memphis Grizzlies,,,,,FedEx Forum,
2023-01-29,7:00p,Los Angeles Clippers,,Cleveland Cavaliers,,,,,Rocket Mortgage Fieldhouse,
2023-01-29,8:00p,New Orleans Pelicans,,Milwaukee Bucks,,,,,Fiserv Forum,
2023-01-30,7:00p,Orlando Magic,,Philadelphia 76ers,,,,,Wells Fargo Center,
2023-01-30,7:30p,Los Angeles Lakers,,Brooklyn Nets,,,,,Barclays Center,
2023-01-30,8:00p,Sacramento Kings,,Minnesota Timberwolves,,,,,Target Center,
2023-01-30,8:00p,Golden State Warriors,,Oklahoma City Thunder,,,,,Paycom Center,
2023-01-30,8:00p,Washington Wizards,,San Antonio Spurs,,,,,AT&T Center,
2023-01-30,8:30p,Detroit Pistons,,Dallas Mavericks,,,,,American Airlines Center,
2023-01-30,9:00p,Toronto Raptors,,Phoenix Suns,,,,,Footprint Center,
2023-01-30,10:00p,Atlanta Hawks,,Portland Trail Blazers,,,,,Moda Center,
2023-01-31,7:00p,Miami Heat,,Cleveland Cavaliers,,,,,Rocket Mortgage Fieldhouse,
2023-01-31,7:30p,Los Angeles Lakers,,New York Knicks,,,,,Madison Square Garden (IV),
2023-01-31,8:00p,Los Angeles Clippers,,Chicago Bulls,,,,,United Center,
2023-01-31,8:00p,Charlotte Hornets,,Milwaukee Bucks,,,,,Fiserv Forum,
2023-01-31,10:00p,New Orleans Pelicans,,Denver Nuggets,,,,,Ball Arena,
2023-02-01,7:00p,Washington Wizards,,Detroit Pistons,,,,,Little Caesars Arena,
2023-02-01,7:00p,Portland Trail Blazers,,Memphis Grizzlies,,,,,FedEx Forum,
2023-02-01,7:00p,Orlando Magic,,Philadelphia 76ers,,,,,Wells Fargo Center,
2023-02-01,7:30p,Brooklyn Nets,,Boston Celtics,,,,,TD Garden,
2023-02-01,8:00p,Oklahoma City Thunder,,Houston Rockets,,,,,Toyota Center,
2023-02-01,8:00p,Golden State Warriors,,Minnesota Timberwolves,,,,,Target Center,
2023-02-01,8:00p,Sacramento Kings,,San Antonio Spurs,,,,,AT&T Center,
2023-02-01,9:00p,Toronto Raptors,,Utah Jazz,,,,,Vivint Arena,
2023-02-01,10:00p,Atlanta Hawks,,Phoenix Suns,,,,,Footprint Center,
2023-02-02,7:00p,Los Angeles Lakers,,Indiana Pacers,,,,,Gainbridge Fieldhouse,
2023-02-02,7:30p,Memphis Grizzlies,,Cleveland Cavaliers,,,,,Rocket Mortgage Fieldhouse,
2023-02-02,7:30p,Miami Heat,,New York Knicks,,,,,Madison Square Garden (IV),
2023-02-02,8:00p,Charlotte Hornets,,Chicago Bulls,,,,,United Center,
2023-02-02,8:30p,New Orleans Pelicans,,Dallas Mavericks,,,,,American Airlines Center,
2023-02-02,9:00p,Golden State Warriors,,Denver Nuggets,,,,,Ball Arena,
2023-02-02,10:00p,Los Angeles Clippers,,Milwaukee Bucks,,,,,Fiserv Forum,
2023-02-03,7:00p,Charlotte Hornets,,Detroit Pistons,,,,,Little Caesars Arena,
2023-02-03,7:00p,Sacramento Kings,,Indiana Pacers,,,,,Gainbridge Fieldhouse,
2023-02-03,7:00p,Portland Trail Blazers,,Washington Wizards,,,,,Capital One Arena,
2023-02-03,7:30p,Phoenix Suns,,Boston Celtics,,,,,TD Garden,
2023-02-03,8:00p,Toronto Raptors,,Houston Rockets,,,,,Toyota Center,
2023-02-03,8:00p,Orlando Magic,,Minnesota Timberwolves,,,,,Target Center,
2023-02-03,8:00p,Philadelphia 76ers,,San Antonio Spurs,,,,,AT&T Center,
2023-02-03,9:00p,Atlanta Hawks,,Utah Jazz,,,,,Vivint Arena,
2023-02-04,6:00p,Washington Wizards,,Brooklyn Nets,,,,,Barclays Center,
2023-02-04,7:00p,Phoenix Suns,,Detroit Pistons,,,,,Little Caesars Arena,
2023-02-04,7:00p,Los Angeles Clippers,,New York Knicks,,,,,Madison Square Garden (IV),
2023-02-04,8:00p,Portland Trail Blazers,,Chicago Bulls,,,,,United Center,
2023-02-04,8:00p,Miami Heat,,Milwaukee Bucks,,,,,Fiserv Forum,
2023-02-04,8:00p,Los Angeles Lakers,,New Orleans Pelicans,,,,,Smoothie King Center,
2023-02-04,8:00p,Houston Rockets,,Oklahoma City Thunder,,,,,Paycom Center,
2023-02-04,8:30p,Dallas Mavericks,,Golden State Warriors,,,,,Chase Center,
2023-02-04,9:00p,Atlanta Hawks,,Denver Nuggets,,,,,Ball Arena,
2023-02-05,1:00p,Orlando Magic,,Charlotte Hornets,,,,,Spectrum Center,
2023-02-05,5:00p,Cleveland Cavaliers,,Indiana Pacers,,,,,Gainbridge Fieldhouse,
2023-02-05,6:00p,Toronto Raptors,,Memphis Grizzlies,,,,,FedEx Forum,
